1	60827.000000
2	50524.000000
3	49215.000000
4	48496.000000
5	50093.000000
6	48627.000000
7	48693.000000
8	53239.000000
9	49499.000000
10	48631.000000
11	48947.000000
12	48517.000000
13	49234.000000
14	48521.000000
15	48890.000000
16	49022.000000
17	48759.000000
18	48931.000000
19	48550.000000
20	48860.000000
21	48617.000000
22	49029.000000
23	48713.000000
24	48987.000000
25	48594.000000
26	49175.000000
27	48582.000000
28	48979.000000
29	48588.000000
30	49438.000000
31	54299.000000
32	58563.000000
33	52279.000000
34	50066.000000
35	48720.000000
36	48943.000000
37	48667.000000
38	49178.000000
39	48627.000000
40	49082.000000
41	48671.000000
42	49579.000000
43	48753.000000
44	48809.000000
45	48745.000000
46	48902.000000
47	48813.000000
48	49337.000000
49	50644.000000
50	48823.000000
51	48975.000000
52	49020.000000
53	49297.000000
54	48915.000000
55	56095.000000
56	48864.000000
57	51124.000000
58	50018.000000
59	51970.000000
60	48886.000000
61	49131.000000
62	48801.000000
63	49146.000000
64	49053.000000
65	53807.000000
66	53588.000000
67	49208.000000
68	48914.000000
69	49031.000000
70	48873.000000
71	49113.000000
72	48895.000000
73	49811.000000
74	49083.000000
75	49602.000000
76	48966.000000
77	49085.000000
78	48939.000000
79	49453.000000
80	48998.000000
81	49140.000000
82	49291.000000
83	49130.000000
84	49142.000000
85	49050.000000
86	49035.000000
87	49154.000000
88	49213.000000
89	49031.000000
90	49325.000000
91	49107.000000
92	52892.000000
93	49268.000000
94	49297.000000
95	49069.000000
96	53927.000000
97	49170.000000
98	49827.000000
99	54178.000000
100	49643.000000
